PublicationDate,DataSource,Country,Country_code,emissions,Format_name,Notation,Parent_sector_code,Pollutant_name,Sector_code,Sector_name,Unit,Year
20183105,EEA,Belgium,BE,108.8169,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,2010
20183105,EEA,Belgium,BE,10.02387,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,2016
20183105,EEA,Belgium,BE,25751.78819,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,2016
20183105,EEA,Belgium,BE,66.92599,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,2016
20183105,EEA,Belgium,BE,16.77833,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,2000
20183105,EEA,Belgium,BE,229.44619,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.e,1.A.3.e - Other Transportation,Gg CO2 equivalent,1990
20183105,EEA,Belgium,BE,183.63015,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.e,1.A.3.e - Other Transportation,Gg CO2 equivalent,2000
20183105,EEA,Belgium,BE,25593.2248,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,2010
20183105,EEA,Belgium,BE,450.23256,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.d,1.A.3.d - Domestic Navigation,Gg CO2 equivalent,2010
20183105,EEA,Belgium,BE,410.82694,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.d,1.A.3.d - Domestic Navigation,Gg CO2 equivalent,2016
20183105,EEA,Belgium,BE,20046.0367,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,1990
20183105,EEA,Belgium,BE,234.93859,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,1990
20183105,EEA,Switzerland,CH,16004.34628,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,2010
20183105,EEA,Switzerland,CH,29.1441,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,1990
20183105,EEA,Switzerland,CH,31.50269,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.e,1.A.3.e - Other Transportation,Gg CO2 equivalent,1990
20183105,EEA,Bulgaria,BG,136.25644,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,1990
20183105,EEA,Belgium,BE,262.75501,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.e,1.A.3.e - Other Transportation,Gg CO2 equivalent,2010
20183105,EEA,Belgium,BE,150.50267,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.e,1.A.3.e - Other Transportation,Gg CO2 equivalent,2016
20183105,EEA,Bulgaria,BG,132.97466,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,2000
20183105,EEA,Bulgaria,BG,6.33409,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.d,1.A.3.d - Domestic Navigation,Gg CO2 equivalent,2000
20183105,EEA,Bulgaria,BG,7.39749,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.d,1.A.3.d - Domestic Navigation,Gg CO2 equivalent,2016
20183105,EEA,Bulgaria,BG,61.49401,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,2016
20183105,EEA,Bulgaria,BG,46.75223,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,2010
20183105,EEA,Bulgaria,BG,360.43131,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,1990
20183105,EEA,Bulgaria,BG,8.74224,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.d,1.A.3.d - Domestic Navigation,Gg CO2 equivalent,2010
20183105,EEA,Bulgaria,BG,146.97199,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.e,1.A.3.e - Other Transportation,Gg CO2 equivalent,1990
20183105,EEA,Bulgaria,BG,326.02,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.e,1.A.3.e - Other Transportation,Gg CO2 equivalent,2010
20183105,EEA,Cyprus,CY,7.72318,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,2010
20183105,EEA,Cyprus,CY,0,IPCC Common Reporting Format,�,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,2010
20183105,EEA,Bulgaria,BG,57.00678,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.d,1.A.3.d - Domestic Navigation,Gg CO2 equivalent,1990
20183105,EEA,Switzerland,CH,36.62591,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,2010
20183105,EEA,Switzerland,CH,46.96123,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.e,1.A.3.e - Other Transportation,Gg CO2 equivalent,2010
20183105,EEA,Czech Republic,CZ,11480.2133,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,2000
20183105,EEA,Bulgaria,BG,64.21487,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,2000
20183105,EEA,Bulgaria,BG,5903.89833,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,1990
20183105,EEA,Bulgaria,BG,7556.43762,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,2010
20183105,EEA,Germany,DE,160282.79934,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,2016
20183105,EEA,Switzerland,CH,14850.34668,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.b,1.A.3.b - Road Transportation,Gg CO2 equivalent,2016
20183105,EEA,Switzerland,CH,28.89268,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,Gg CO2 equivalent,2016
20183105,EEA,Switzerland,CH,117.11238,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.d,1.A.3.d - Domestic Navigation,Gg CO2 equivalent,1990
20183105,EEA,Switzerland,CH,187.53652,IPCC Common Reporting Format,,1.A.3,All greenhouse gases - (CO2 equivalent),1.A.3.a,1.A.3.a - Domestic Aviation,Gg CO2 equivalent,2000
